year;codigo_prov;nombre_prov;media;mediana;Poblacion;pib_per_capita;medicos_por_poblacion;Comunidad_autonoma;cod_ccaa;zona
2021;28;MADRID;80,238;83,693;6751251;35185;7,14;Madrid;13;3
2021;8;BARCELONA;80,56;83,918;5714730;30399;6,611;Cataluna;9;2
2021;46;VALENCIA;79,693;82,831;2589312;23717;6,496;Comunidad Valenciana;10;2
2021;41;SEVILLA;78,536;81,538;1947852;20873;5,889;Andalucia;1;4
2021;3;ALICANTE;79,195;81,927;1881762;19811;4,626;Comunidad Valenciana;10;2
2021;29;MALAGA;77,862;80,821;1695651;18150;5,508;Andalucia;1;4
2021;30;MURCIA;79,409;83,175;1518486;21547;5,431;Murcia;14;4
2021;11;CADIZ;77,771;80,654;1245960;18167;4,853;Andalucia;1;4
2021;7;BALEARES;79,229;82,396;1173008;25602;5,393;Islas Baleares;4;2
2021;48;VIZCAYA;81,672;84,826;1154334;30708;7,343;Pais Vasco;16;1
2021;35;LAS PALMAS;76,699;79,862;1128539;19545;5,508;Canarias;5;5
2021;15;LA CORUNA;81,278;84,205;1120134;24415;6,167;Galicia;12;1
2021;38;SANTA CRUZ DE TENERIFE;77,793;81,037;1044405;19902;5,758;Canarias;5;5
2021;33;ASTURIAS;81,765;84,791;1011792;23275;6,959;Asturias;3;1
2021;50;ZARAGOZA;81,322;84,407;967452;28836;7,989;Aragon;2;1
2021;36;PONTEVEDRA;81,297;84,096;944275;23286;5,093;Galicia;12;1
2021;18;GRANADA;79,027;82,471;921338;18604;6,255;Andalucia;1;4
2021;43;TARRAGONA;80,635;83,768;822309;29699;4,47;Cataluna;9;2
2021;17;GIRONA;80,635;83,902;786596;27149;4,068;Cataluna;9;2
2021;14;CORDOBA;80,39;83,51;776789;18816;5,458;Andalucia;1;4
2021;4;ALMERIA;77,406;80,907;731792;21399;3,997;Andalucia;1;4
2021;20;GUIPUZCOA;81,519;84,743;726033;32835;6,217;Pais Vasco;16;1
2021;45;TOLEDO;81,72;85,242;709403;18690;3,96;Castilla La Mancha;8;3
2021;6;BADAJOZ;80,451;83,563;669943;18991;5,69;Extremadura;11;4
2021;31;NAVARRA;81,236;84,593;661537;31016;6,822;Navarra;15;1
2021;23;JAEN;80,871;84,162;627190;18742;4,091;Andalucia;1;4
2021;12;CASTELLON DE LA PLANA;80,155;83,604;587064;27505;4,848;Comunidad Valenciana;10;2
2021;39;CANTABRIA;81,59;84,712;584507;23990;6,636;Cantabria;6;1
2021;21;HUELVA;79,011;81,995;525835;20469;4,38;Andalucia;1;4
2021;47;VALLADOLID;81,423;84,309;519361;27522;7,382;Castilla y Leon;7;3
2021;13;CIUDAD REAL;81,573;84,392;492591;21992;5,366;Castilla La Mancha;8;3
2021;24;LEON;82,694;85,898;451706;22636;5,816;Castilla y Leon;7;3
2021;25;LLEIDA;81,757;85,199;439727;28561;4,626;Cataluna;9;2
2021;10;CACERES;81,972;85,014;389558;20347;5,74;Extremadura;11;4
2021;2;ALBACETE;81,384;84,759;386464;22418;5,625;Castilla La Mancha;8;3
2021;9;BURGOS;83,134;86,638;356055;28863;5,949;Castilla y Leon;7;3
2021;1;ALAVA;80,898;84,147;333626;38786;6,208;Pais Vasco;16;1
2021;37;SALAMANCA;83,243;86,302;327338;22270;8,374;Castilla y Leon;7;3
2021;27;LUGO;83,66;86,715;326013;22684;5,313;Galicia;12;1
2021;26;LA RIOJA;82,245;85,583;319796;26954;5,729;La Rioja;17;1
2021;32;ORENSE;83,406;86,505;305223;23276;5,566;Galicia;12;1
2021;19;GUADALAJARA;82,219;85,672;265588;20719;4,582;Castilla La Mancha;8;3
2021;22;HUESCA;83,147;86,87;224264;30332;4,905;Aragon;2;1
2021;16;CUENCA;83,223;86,202;195516;23497;4,209;Castilla La Mancha;8;3
2021;49;ZAMORA;84,104;87,093;168725;21231;5,98;Castilla y Leon;7;3
2021;34;PALENCIA;82,572;85,634;159123;27047;6,134;Castilla y Leon;7;3
2021;5;AVILA;83,335;86,571;158421;20831;5,479;Castilla y Leon;7;3
2021;40;SEGOVIA;83,603;86,383;153663;22523;5,753;Castilla y Leon;7;3
2021;44;TERUEL;83,557;87,335;134545;25717;5,218;Aragon;2;1
2021;42;SORIA;83,836;87,538;88747;28526;7,155;Castilla y Leon;7;3
2021;52;MELILLA;77,427;80,975;86261;18740;3,791;Melilla;19;5
2021;51;CEUTA;74,998;78,198;83517;21135;4,215;Ceuta;18;5
2017;1;ALAVA;80,084;83,72;326574;38065;5,888;Pais Vasco;16;1
2017;10;CACERES;81,491;84,651;400036;18790;5,167;Extremadura;11;4
2017;11;CADIZ;77,383;80,55;1239435;17365;4,287;Andalucia;1;4
2017;12;CASTELLON DE LA PLANA;80,398;83,988;575470;27235;4,478;Comunidad Valenciana;10;2
2017;13;CIUDAD REAL;81,55;84,528;502578;20896;4,787;Castilla La Mancha;8;3
2017;14;CORDOBA;79,937;83,565;788219;17765;4,846;Andalucia;1;4
2017;15;LA CORUNA;80,657;84,105;1120294;23223;5,57;Galicia;12;1
2017;16;CUENCA;83,201;85,942;198718;21654;3,895;Castilla La Mancha;8;3
2017;17;GIRONA;80,648;84,301;755716;27299;3,489;Cataluna;9;2
2017;18;GRANADA;79,203;82,953;912938;17655;5,513;Andalucia;1;4
2017;19;GUADALAJARA;82,684;86,471;253310;19387;4,248;Castilla La Mancha;8;3
2017;2;ALBACETE;81,884;84,998;390032;20141;4,959;Castilla La Mancha;8;3
2017;20;GUIPUZCOA;80,998;84,467;719282;32395;5,651;Pais Vasco;16;1
2017;21;HUELVA;79,246;82,197;518930;19061;3,912;Andalucia;1;4
2017;22;HUESCA;83,191;86,261;219702;28372;4,652;Aragon;2;1
2017;23;JAEN;80,664;83,886;643484;17261;3,441;Andalucia;1;4
2017;24;LEON;82,618;85,687;468316;20432;5,251;Castilla y Leon;7;3
2017;25;LLEIDA;82,148;85,643;432384;27266;4,198;Cataluna;9;2
2017;26;LA RIOJA;81,775;85,36;315381;26556;5,225;La Rioja;17;1
2017;27;LUGO;83,297;85,919;333634;22295;4,721;Galicia;12;1
2017;28;MADRID;80,28;84,066;6507184;34216;6,727;Madrid;13;3
2017;29;MALAGA;77,491;80,792;1630615;17989;4,925;Andalucia;1;4
2017;3;ALICANTE;79,02;82,165;1825332;19044;4,245;Comunidad Valenciana;10;2
2017;30;MURCIA;79,3;83,116;1470273;20725;4,899;Murcia;14;4
2017;31;NAVARRA;81,436;85,004;643234;30468;6,335;Navarra;15;1
2017;32;ORENSE;83,684;86,16;311680;20954;5,008;Galicia;12;1
2017;33;ASTURIAS;81,472;84,679;1034960;21939;6,148;Asturias;3;1
2017;34;PALENCIA;82,708;85,982;163390;25081;5,692;Castilla y Leon;7;3
2017;35;LAS PALMAS;75,804;78,984;1100480;20237;4,888;Canarias;5;5
2017;36;PONTEVEDRA;80,591;83,715;942731;21765;4,684;Galicia;12;1
2017;37;SALAMANCA;82,564;85,698;333603;20175;7,791;Castilla y Leon;7;3
2017;38;SANTA CRUZ DE TENERIFE;77,372;80,584;1007641;20655;5,086;Canarias;5;5
2017;39;CANTABRIA;81,186;84,655;580295;22772;6,119;Cantabria;6;1
2017;4;ALMERIA;78,06;81,873;706672;21421;3,582;Andalucia;1;4
2017;40;SEGOVIA;83,307;86,532;154184;21241;5,364;Castilla y Leon;7;3
2017;41;SEVILLA;78,184;81,505;1939527;19534;5,212;Andalucia;1;4
2017;42;SORIA;84,035;86,944;88903;24639;6,749;Castilla y Leon;7;3
2017;43;TARRAGONA;80,663;84,087;791693;30263;4,282;Cataluna;9;2
2017;44;TERUEL;83,154;86,276;135562;23849;4,95;Aragon;2;1
2017;45;TOLEDO;81,536;85,337;686841;17896;3,633;Castilla La Mancha;8;3
2017;46;VALENCIA;79,538;83,068;2540707;22714;5,78;Comunidad Valenciana;10;2
2017;47;VALLADOLID;81,17;84,534;521130;26412;6,77;Castilla y Leon;7;3
2017;48;VIZCAYA;81,03;84,439;1148302;30281;6,573;Pais Vasco;16;1
2017;49;ZAMORA;83,737;86,777;177404;18571;5,175;Castilla y Leon;7;3
2017;5;AVILA;83,385;86,059;160700;19379;5,103;Castilla y Leon;7;3
2017;50;ZARAGOZA;81,395;84,692;953486;27247;7,451;Aragon;2;1
2017;51;CEUTA;72,883;77,181;84959;19532;3,861;Ceuta;18;5
2017;52;MELILLA;75,319;78,736;86120;17924;3,356;Melilla;19;5
2017;6;BADAJOZ;80,343;83,651;679884;17864;5,044;Extremadura;11;4
2017;7;BALEARES;78,626;82,166;1115999;27105;5,047;Islas Baleares;4;2
2017;8;BARCELONA;80,529;84,022;5576037;30174;6,02;Cataluna;9;2
2017;9;BURGOS;82,315;85,924;358171;28170;5,433;Castilla y Leon;7;3
2018;1;ALAVA;80,669;84,17;328868;39031;5,908;Pais Vasco;16;1
2018;10;CACERES;81,786;85,07;396487;19706;5,322;Extremadura;11;4
2018;11;CADIZ;77,407;80,477;1238714;17843;4,401;Andalucia;1;4
2018;12;CASTELLON DE LA PLANA;80,539;83,723;576898;27482;4,543;Comunidad Valenciana;10;2
2018;13;CIUDAD REAL;81,56;84,687;499100;21607;4,889;Castilla La Mancha;8;3
2018;14;CORDOBA;80,462;83,877;785240;18103;4,972;Andalucia;1;4
2018;15;LA CORUNA;80,928;84,226;1119351;24206;5,734;Galicia;12;1
2018;16;CUENCA;83,039;86,003;197222;22716;4,026;Castilla La Mancha;8;3
2018;17;GIRONA;80,646;84,43;761947;27826;3,785;Cataluna;9;2
2018;18;GRANADA;79,044;82,627;912075;18166;5,713;Andalucia;1;4
2018;19;GUADALAJARA;82,676;86,073;254308;20330;4,278;Castilla La Mancha;8;3
2018;2;ALBACETE;81,563;84,899;388786;20988;5,144;Castilla La Mancha;8;3
2018;20;GUIPUZCOA;81,136;84,471;720592;33201;5,759;Pais Vasco;16;1
2018;21;HUELVA;78,931;81,985;519932;20126;4,012;Andalucia;1;4
2018;22;HUESCA;83,081;86,476;219345;28781;4,714;Aragon;2;1
2018;23;JAEN;80,904;84,214;638099;18257;3,479;Andalucia;1;4
2018;24;LEON;82,852;85,933;463746;21201;5,382;Castilla y Leon;7;3
2018;25;LLEIDA;82,096;85,877;432866;28117;4,336;Cataluna;9;2
2018;26;LA RIOJA;82,383;85,502;315675;27511;5,392;La Rioja;17;1
2018;27;LUGO;83,182;85,912;331327;23437;4,805;Galicia;12;1
2018;28;MADRID;80,294;84,16;6578079;35135;6,832;Madrid;13;3
2018;29;MALAGA;77,642;80,811;1641121;18709;5,068;Andalucia;1;4
2018;3;ALICANTE;79,061;82,156;1838819;19473;4,323;Comunidad Valenciana;10;2
2018;30;MURCIA;79,183;82,947;1478509;21023;5,028;Murcia;14;4
2018;31;NAVARRA;81,659;85,253;647554;31051;6,447;Navarra;15;1
2018;32;ORENSE;83,301;86,087;309293;21955;5,108;Galicia;12;1
2018;33;ASTURIAS;81,589;84,802;1028244;22677;6,324;Asturias;3;1
2018;34;PALENCIA;83,01;86,089;162035;27165;5,77;Castilla y Leon;7;3
2018;35;LAS PALMAS;76,166;79,486;1109175;20858;4,997;Canarias;5;5
2018;36;PONTEVEDRA;80,974;84,063;941772;22123;4,811;Galicia;12;1
2018;37;SALAMANCA;83,245;86,486;331473;20902;8,028;Castilla y Leon;7;3
2018;38;SANTA CRUZ DE TENERIFE;77,519;80,717;1018510;21034;5,256;Canarias;5;5
2018;39;CANTABRIA;81,432;84,919;580229;23657;6,334;Cantabria;6;1
2018;4;ALMERIA;78,09;81,744;709340;21620;3,692;Andalucia;1;4
2018;40;SEGOVIA;83,851;86,96;153342;22098;5,706;Castilla y Leon;7;3
2018;41;SEVILLA;78,213;81,634;1939887;20184;5,368;Andalucia;1;4
2018;42;SORIA;83,929;87,026;88600;27866;6,727;Castilla y Leon;7;3
2018;43;TARRAGONA;80,497;84,03;795902;30281;4,184;Cataluna;9;2
2018;44;TERUEL;84,19;87,255;134572;25179;5,046;Aragon;2;1
2018;45;TOLEDO;82,151;85,535;687391;18644;3,755;Castilla La Mancha;8;3
2018;46;VALENCIA;79,621;82,969;2547986;23750;5,92;Comunidad Valenciana;10;2
2018;47;VALLADOLID;81,487;84,89;519851;27658;7,012;Castilla y Leon;7;3
2018;48;VIZCAYA;81,101;84,772;1149628;31349;6,768;Pais Vasco;16;1
2018;49;ZAMORA;83,846;86,634;174549;19480;5,374;Castilla y Leon;7;3
2018;5;AVILA;83,073;86,291;158498;20201;5,161;Castilla y Leon;7;3
2018;50;ZARAGOZA;81,373;84,744;954811;28241;7,58;Aragon;2;1
2018;51;CEUTA;73,746;78,75;85144;20253;3,923;Ceuta;18;5
2018;52;MELILLA;73,487;79,294;86384;18645;3,427;Melilla;19;5
2018;6;BADAJOZ;80,564;83,708;676376;18317;5,212;Extremadura;11;4
2018;7;BALEARES;78,664;82,105;1128908;27847;5,083;Islas Baleares;4;2
2018;8;BARCELONA;80,562;84,115;5609350;31051;6,16;Cataluna;9;2
2018;9;BURGOS;82,5;86,07;357070;29498;5,397;Castilla y Leon;7;3
2019;1;ALAVA;80,906;84,526;331549;38997;6,008;Pais Vasco;16;1
2019;10;CACERES;82,094;85,021;394151;20393;5,47;Extremadura;11;4
2019;11;CADIZ;77,482;80,399;1240155;18502;4,549;Andalucia;1;4
2019;12;CASTELLON DE LA PLANA;80,041;83,405;579962;28071;4,599;Comunidad Valenciana;10;2
2019;13;CIUDAD REAL;81,938;85,135;495761;21793;5,051;Castilla La Mancha;8;3
2019;14;CORDOBA;80,642;84,215;782979;18003;5,125;Andalucia;1;4
2019;15;LA CORUNA;80,861;84,077;1119596;24714;5,888;Galicia;12;1
2019;16;CUENCA;83,493;86,414;196329;22626;4,07;Castilla La Mancha;8;3
2019;17;GIRONA;80,416;84,156;771044;28666;3,899;Cataluna;9;2
2019;18;GRANADA;78,992;82,766;914678;18861;5,893;Andalucia;1;4
2019;19;GUADALAJARA;82,589;86,427;257762;20989;4,438;Castilla La Mancha;8;3
2019;2;ALBACETE;81,576;84,912;388167;21751;5,322;Castilla La Mancha;8;3
2019;20;GUIPUZCOA;81,404;84,797;723576;34285;5,904;Pais Vasco;16;1
2019;21;HUELVA;78,638;82,229;521870;20023;4,166;Andalucia;1;4
2019;22;HUESCA;83,186;86,77;220461;29587;4,804;Aragon;2;1
2019;23;JAEN;80,787;84,307;633564;17728;3,768;Andalucia;1;4
2019;24;LEON;82,817;86,039;460001;21919;5,504;Castilla y Leon;7;3
2019;25;LLEIDA;81,992;85,553;434930;29221;4,442;Cataluna;9;2
2019;26;LA RIOJA;82,135;85,731;316798;28057;5,54;La Rioja;17;1
2019;27;LUGO;83,468;86,203;329587;23615;4,955;Galicia;12;1
2019;28;MADRID;80,492;84,191;6663394;36206;6,902;Madrid;13;3
2019;29;MALAGA;77,353;80,389;1661785;19276;5,208;Andalucia;1;4
2019;3;ALICANTE;79,006;82,085;1858683;19944;4,404;Comunidad Valenciana;10;2
2019;30;MURCIA;79,31;83,289;1493898;21617;5,152;Murcia;14;4
2019;31;NAVARRA;81,483;85,146;654214;31987;6,522;Navarra;15;1
2019;32;ORENSE;83,361;86,152;307651;23146;5,249;Galicia;12;1
2019;33;ASTURIAS;81,487;84,961;1022800;23245;6,511;Asturias;3;1
2019;34;PALENCIA;83,052;86,153;160980;27525;5,858;Castilla y Leon;7;3
2019;35;LAS PALMAS;76,21;79,416;1120406;21164;5,127;Canarias;5;5
2019;36;PONTEVEDRA;80,93;84,18;942665;22973;4,724;Galicia;12;1
2019;37;SALAMANCA;83,23;86,351;330119;21733;8,097;Castilla y Leon;7;3
2019;38;SANTA CRUZ DE TENERIFE;77,381;80,478;1032983;21344;5,401;Canarias;5;5
2019;39;CANTABRIA;81,273;84,911;581078;24371;6,371;Cantabria;6;1
2019;4;ALMERIA;77,9;81,101;716820;22245;3,808;Andalucia;1;4
2019;40;SEGOVIA;83,929;87,05;153129;22730;5,688;Castilla y Leon;7;3
2019;41;SEVILLA;78,213;81,348;1942389;20761;5,544;Andalucia;1;4
2019;42;SORIA;84,166;87,233;88636;28181;6,882;Castilla y Leon;7;3
2019;43;TARRAGONA;80,54;84,051;804664;30516;4,243;Cataluna;9;2
2019;44;TERUEL;84,411;87,352;134137;25513;5,159;Aragon;2;1
2019;45;TOLEDO;81,904;85,611;694844;18957;3,786;Castilla La Mancha;8;3
2019;46;VALENCIA;79,606;83,001;2565124;24346;6,103;Comunidad Valenciana;10;2
2019;47;VALLADOLID;81,608;84,772;519546;28132;7,164;Castilla y Leon;7;3
2019;48;VIZCAYA;81,415;84,794;1152651;32283;6,979;Pais Vasco;16;1
2019;49;ZAMORA;84,092;86,857;172539;20370;5,634;Castilla y Leon;7;3
2019;5;AVILA;82,953;86,044;157640;20909;5,392;Castilla y Leon;7;3
2019;50;ZARAGOZA;81,515;84,867;964693;28980;7,697;Aragon;2;1
2019;51;CEUTA;74,041;78,091;84777;21013;3,916;Ceuta;18;5
2019;52;MELILLA;73,007;77,28;86487;19255;3,735;Melilla;19;5
2019;6;BADAJOZ;80,249;83,658;673559;18612;5,334;Extremadura;11;4
2019;7;BALEARES;78,761;82,269;1149460;28325;5,117;Islas Baleares;4;2
2019;8;BARCELONA;80,536;84,138;5664579;31950;6,293;Cataluna;9;2
2019;9;BURGOS;82,892;85,989;356958;29815;5,48;Castilla y Leon;7;3
2020;1;ALAVA;81,455;84,938;333940;35185;6,061;Pais Vasco;16;1
2020;10;CACERES;82,462;85,504;391850;18414;5,637;Extremadura;11;4
2020;11;CADIZ;77,897;80,563;1244049;16239;4,69;Andalucia;1;4
2020;12;CASTELLON DE LA PLANA;81,056;84,359;585590;24301;4,7;Comunidad Valenciana;10;2
2020;13;CIUDAD REAL;81,593;84,712;495045;20300;5,202;Castilla La Mancha;8;3
2020;14;CORDOBA;80,647;83,962;781451;16687;5,299;Andalucia;1;4
2020;15;LA CORUNA;81,418;84,385;1121815;22618;6,019;Galicia;12;1
2020;16;CUENCA;83,191;86,433;196139;21374;4,16;Castilla La Mancha;8;3
2020;17;GIRONA;81,074;84,446;781788;25029;3,992;Cataluna;9;2
2020;18;GRANADA;79,879;83,281;919168;17131;6,052;Andalucia;1;4
2020;19;GUADALAJARA;83,555;86,726;261995;19142;4,542;Castilla La Mancha;8;3
2020;2;ALBACETE;81,895;84,874;388270;20307;5,473;Castilla La Mancha;8;3
2020;20;GUIPUZCOA;81,611;84,516;727121;30101;6,051;Pais Vasco;16;1
2020;21;HUELVA;78,421;81,549;524278;17591;4,257;Andalucia;1;4
2020;22;HUESCA;83,95;87,128;222687;28143;4,836;Aragon;2;1
2020;23;JAEN;81,136;84,551;631381;16972;3,909;Andalucia;1;4
2020;24;LEON;83,728;86,652;456439;20493;5,652;Castilla y Leon;7;3
2020;25;LLEIDA;82,222;85,817;438517;26297;4,533;Cataluna;9;2
2020;26;LA RIOJA;82,13;85,422;319914;25400;5,589;La Rioja;17;1
2020;27;LUGO;83,442;86,274;327946;21106;5,153;Galicia;12;1
2020;28;MADRID;81,171;84,407;6779888;32551;6,959;Madrid;13;3
2020;29;MALAGA;78,015;80,962;1685920;16702;5,316;Andalucia;1;4
2020;3;ALICANTE;79,36;82,376;1879888;18060;4,498;Comunidad Valenciana;10;2
2020;30;MURCIA;79,443;82,841;1511251;19669;5,296;Murcia;14;4
2020;31;NAVARRA;81,973;85,402;661197;28649;6,617;Navarra;15;1
2020;32;ORENSE;83,741;86,392;306650;20888;5,371;Galicia;12;1
2020;33;ASTURIAS;82,044;85,033;1018784;21012;6,716;Asturias;3;1
2020;34;PALENCIA;82,689;85,519;160321;25210;6,038;Castilla y Leon;7;3
2020;35;LAS PALMAS;76,697;79,936;1131065;17365;5,299;Canarias;5;5
2020;36;PONTEVEDRA;80,982;84,271;945408;21183;5,002;Galicia;12;1
2020;37;SALAMANCA;83,672;86,667;329245;20148;8,289;Castilla y Leon;7;3
2020;38;SANTA CRUZ DE TENERIFE;77,953;81,02;1044887;18098;5,56;Canarias;5;5
2020;39;CANTABRIA;81,629;84,721;582905;22041;6,509;Cantabria;6;1
2020;4;ALMERIA;77,678;81,289;727945;20118;3,829;Andalucia;1;4
2020;40;SEGOVIA;84,247;87,284;153478;20772;5,721;Castilla y Leon;7;3
2020;41;SEVILLA;78,513;81,547;1950219;18988;5,705;Andalucia;1;4
2020;42;SORIA;85,081;87,64;88884;25747;7,054;Castilla y Leon;7;3
2020;43;TARRAGONA;80,688;83,715;816772;26143;4,322;Cataluna;9;2
2020;44;TERUEL;84,741;87,462;134176;23129;5,128;Aragon;2;1
2020;45;TOLEDO;82,328;85,643;703772;17337;3,866;Castilla La Mancha;8;3
2020;46;VALENCIA;79,739;83,037;2591875;21843;6,278;Comunidad Valenciana;10;2
2020;47;VALLADOLID;82,344;85,287;520649;26039;7,27;Castilla y Leon;7;3
2020;48;VIZCAYA;81,595;84,82;1159443;28507;7,158;Pais Vasco;16;1
2020;49;ZAMORA;84,827;87,39;170588;18960;5,903;Castilla y Leon;7;3
2020;5;AVILA;83,614;86,703;157664;19463;5,448;Castilla y Leon;7;3
2020;50;ZARAGOZA;82,04;85,085;972528;26829;7,823;Aragon;2;1
2020;51;CEUTA;76,011;78,683;84202;19598;4,157;Ceuta;18;5
2020;52;MELILLA;75,77;80,073;87076;17492;3,778;Melilla;19;5
2020;6;BADAJOZ;80,737;83,513;672137;17336;5,499;Extremadura;11;4
2020;7;BALEARES;79,265;82,489;1171543;22211;5,204;Islas Baleares;4;2
2020;8;BARCELONA;81,198;84,38;5743402;28133;6,382;Cataluna;9;2
2020;9;BURGOS;83,644;86,588;357650;26846;5,779;Castilla y Leon;7;3
